name,symbol,token
MAHABANK,MAHABANK-EQ,11377
IRFC,IRFC-NC,1991
GVPTECH,GVPTECH-BE,10866
TI,TI-BL,19199
896KL35,896KL35-SG,21906
PFIZER,PFIZER-EQ,2643
INDIANHUME,INDIANHUME-BL,12090
SFMP42DD,SFMP42DD-MF,3157
MAHLIFE,MAHLIFE-EQ,8050
BHARTIARTL,BHARTIARTL-EQ,10604
VENKEYS,VENKEYS-EQ,3757
JMA,JMA-BL,7112
UNIVAFOODS,UNIVAFOODS-BE,10366
IBULHSGFIN,IBULHSGFIN-NR,5850
INDIGRID,INDIGRID-NE,3428
SEAMECLTD,SEAMECLTD-BL,12743
SANOFI,SANOFI-BL,12230
IBULHSGFIN,IBULHSGFIN-ZD,11825
PGHL,PGHL-BL,12349
SONATSOFTW,SONATSOFTW-EQ,6596
GUJRAFFIA,GUJRAFFIA-BL,12959
743TS33,743TS33-SG,15265
MANINDS,MANINDS-BL,12583
PROZONER,PROZONER-EQ,28859
697PN40,697PN40-SG,21789
GOACARBON,GOACARBON-EQ,14687
GRAPHITE,GRAPHITE-EQ,592
UNIVPHOTO,UNIVPHOTO-EQ,17659
COFORGE,COFORGE-BL,12631
MIRCELECTR,MIRCELECTR-BL,12598
ORISSAMINE,ORISSAMINE-BL,19934
SHARDACROP,SHARDACROP-EQ,4992
772MN32,772MN32-SG,9718
747WB43,747WB43-SG,15320
GEOJITFSL,GEOJITFSL-EQ,11896
NTPC,NTPC-N2,31760
KNAGRI,KNAGRI-SM,8602
768GJ33,768GJ33-SG,14548
SFMP74GR,SFMP74GR-MF,13674
679AP34,679AP34-SG,1004
UNIENTER,UNIENTER-BL,12163
BANCOINDIA,BANCOINDIA-BL,13883
TVSMOTOR,TVSMOTOR-EQ,8479
VIPULLTD,VIPULLTD-EQ,8424
GATI,GATI-BL,13691
697TN31A,697TN31A-SG,5173
778AP42,778AP42-SG,9451
676RJ31,676RJ31-SG,3641
IL&FSENGG,IL&FSENGG-BZ,9380
664MP30,664MP30-SG,21971
91D171123,91D171123-TB,18106
ACI,ACI-EQ,12024
IITL,IITL-BE,19529
NIFTY GS 15YRPLUS,Nifty GS 15YrPlus,99926054
KCP,KCP-BL,12537
668MZ31,668MZ31-SG,1430
WIPL,WIPL-BE,20491
TEXINFRA,TEXINFRA-BL,12827
H1158D46DQ,H1158D46DQ-MF,10501
MOLDTKPAC,MOLDTKPAC-EQ,6713
JMFINANCIL,JMFINANCIL-EQ,13637
ICICIM150,ICICIM150-EQ,17152
CESC,CESC-EQ,628
686PN33,686PN33-SG,2940
68PN26,68PN26-SG,21711
364D200624,364D200624-TB,16942
652PY30,652PY30-SG,994
KEEPLEARN,KEEPLEARN-BE,8880
IBUCCREDIT,IBUCCREDIT-NS,15220
VIKASLIFE,VIKASLIFE-EQ,9931
785PN32,785PN32-SG,10394
THANGAMAYL,THANGAMAYL-EQ,18118
721RJ32,721RJ32-SG,8013
657MP30,657MP30-SG,21975
745AS33A,745AS33A-SG,17642
HYBRIDFIN,HYBRIDFIN-BL,12826
IMC1,IMC1-N1,14219
681TR35,681TR35-SG,1172
774MZ38,774MZ38-SG,14558
747AS33,747AS33-SG,18401
GLENMARK,GLENMARK-BL,12395
SAKUMA,SAKUMA-BE,13255
718AP28,718AP28-SG,20309
TRENT,TRENT-BL,12843
SPORTKING,SPORTKING-EQ,10733
737JH31,737JH31-SG,22197
NAHARINDUS,NAHARINDUS-BL,13110
BHANDA-RE,BHANDA-RE-BL,19062
COFFEEDAY,COFFEEDAY-BL,11168
GRAVITA,GRAVITA-EQ,20534
MRF,MRF-EQ,2277
699GA31,699GA31-SG,4998
PANACHE,PANACHE-BE,16355
PCHFL,PCHFL-N9,5155
CREDITACC,CREDITACC-N6,12471
MARKSANS,MARKSANS-EQ,10579
SIEMENS,SIEMENS-EQ,3150
LAGNAM,LAGNAM-BL,5868
MCLEODRUSS,MCLEODRUSS-BL,12592
706AP30,706AP30-SG,20737
TASTYBITE,TASTYBITE-BL,20095
JINDALSTEL,JINDALSTEL-BL,12516
PSPPROJECT,PSPPROJECT-EQ,20877
UNIPARTS,UNIPARTS-BL,13077
708KA34A,708KA34A-SG,6212
PPLPHARMA,PPLPHARMA-EQ,11571
INNOVANA,INNOVANA-SM,666
ROSSELLIND,ROSSELLIND-BL,28916
PFC,PFC-N2,19974
NIFTY NEXT 50,Nifty Next 50,99926013
RUSTOMJEE,RUSTOMJEE-EQ,12219
717BR30,717BR30-SG,22216
759RJ48,759RJ48-SG,15109
NPBET,NPBET-EQ,12978
MALLCOM,MALLCOM-EQ,7965
DHARMAJ,DHARMAJ-BL,13031
769UP35,769UP35-SG,13891
IBULHSGFIN,IBULHSGFIN-BY,18885
NHAI,NHAI-NC,14499
VLSFINANCE,VLSFINANCE-EQ,3715
AHLEAST,AHLEAST-EQ,19438
IBULHSGFIN,IBULHSGFIN-YN,9211
SHRIRAMFIN,SHRIRAMFIN-YS,6168
629RJ26,629RJ26-SG,5025
JAYNECOIND,JAYNECOIND-EQ,2331
PEL,PEL-BL,13047
EQUIPPP,EQUIPPP-BE,3553
TGBHOTELS,TGBHOTELS-EQ,14607
OSWALGREEN,OSWALGREEN-EQ,471
GATI,GATI-EQ,13688
WONDERLA,WONDERLA-BL,3011
RPSGVENT,RPSGVENT-EQ,8119
BRITANNIA,BRITANNIA-BL,12276
713RJ41,713RJ41-SG,4869
ORIENTALTL,ORIENTALTL-BL,14348
IRB,IRB-BL,15316
HITECHGEAR,HITECHGEAR-BL,12448
TARSONS,TARSONS-BL,6952
655AP35,655AP35-SG,22294
